xid_possession,xid_chance,xid_shot,team_nba_off,team_nba_def,player_nba_shooter,player_nba_passer,player_nba_closestDef,player_nba_blocker,frame_start,frame_end,period,gameClock_start,gameClock_end,gameClock_format_start,gameClock_format_end,shotClock,loc_x,loc_y,loc_x_passer,loc_y_passer,region,m_region,fga,fg,fga3,fg3,fouled,three,qSQ,distance,shotType,complexShotType,catchAndShoot,dribblesBefore,assisted,assistOpp,createdFromPaint,putback,blocked,contestLevel,rearViewContest,closestDefDist,releaseTime,shotAngle,shooterSpeed,shooterVelAngle,rimDepth,rimLeftRight,arcAngle,complexOutcome
f9786eb7-5b34-5daa-9b68-770492c3d4e6,b07a8fa8-8649-5e71-a43c-1ce97d0b819d,8a90ec08-3c00-5281-8e1b-36c2d3c28f39,MIL,OKC,"Trent Jr., Gary","Lillard, Damian","Mitchell, Ajay",null,238811,238838,4,538.69,537.61,8:58,8:57,7.46,-12.11,18.4,5.46,35.72,right wing two,Mid,1,1,0,0,0,0,37.11955547,17.87664957,jumper,stepback,0,4,0,0,0,0,0,heavily_contested,0,4.294007452,2.64,42.64236043,1.958776546,161.1963798,0.145519991,0.274991156,47.23819436,swish
8b6d7836-7f33-5b91-86e1-ba93f3132ff8,1f357792-dd0e-5748-aa24-bfa64c60b3a2,555a3bdb-cf17-54e0-aec4-0553e391a34c,MIL,OKC,"Antetokounmpo, Giannis",null,"Hartenstein, Isaiah",null,198058,198064,3,427.85,427.61,7:07,7:07,6.32,0.57,7.02,null,null,ra,RA,1,1,0,0,0,0,72.61765003,1.859516066,layup,tip,1,0,0,0,1,1,0,uncontested,0,3.875525771,0.08,-17.8503183,0.791666667,17.8503183,null,null,null,null
8b6d7836-7f33-5b91-86e1-ba93f3132ff8,b6fa7ae7-62c5-53fd-af74-6442fcdf3c64,5f08ffab-db11-5577-8dde-cb9c82436f68,MIL,OKC,"Antetokounmpo, Giannis",null,"Hartenstein, Isaiah",null,198048,198055,3,428.25,427.97,7:08,7:07,6.72,0.51,6.7,null,null,ra,RA,1,0,0,0,0,0,67.39114523,1.537075145,layup,tip,1,0,0,0,1,1,0,uncontested,0,5.826731502,0.4,-19.37800406,0.925150138,-152.8568299,null,null,null,null
8b6d7836-7f33-5b91-86e1-ba93f3132ff8,b7d55b89-0bac-5317-adc0-8901c06756cd,7d094dcd-9dc7-5443-9fcd-6146321ad453,MIL,OKC,"Antetokounmpo, Giannis","Prince, Taurean","Hartenstein, Isaiah","Dort, Luguentz",198034,198035,3,428.81,428.77,7:08,7:08,7.28,1.53,6.72,13.01,23.45,ra,RA,1,0,0,0,0,0,86.43858433,2.121744565,layup,cutLayup,0,1,0,1,1,0,1,lightly_contested,0,4.841539012,2.08,-46.14576284,2.42706098,-78.36276015,null,null,null,null
58573808-efd9-520b-8260-17a0a9978b9b,bdadff4a-7e7f-504f-b153-27af51b28df7,d0b7889c-1bbc-5fa1-b977-edf8dd49dd2e,OKC,MIL,"Williams, Jalen","Dort, Luguentz","Trent Jr., Gary",null,124763,124787,2,394.42,393.46,6:34,6:33,17.95,5.4,12.48,5.19,76.23,key,NRA,1,1,0,0,0,0,33.79222453,9.024017952,floater,drivingFloater,0,5,0,0,1,0,0,heavily_contested,0,5.336037856,4.64,-36.755611,4.237932213,133.5312672,0.187918132,0.1582737,49.50223028,swish
4549513b-f40b-5673-93c3-53d6154e3a1e,04a34411-8dfe-546d-88c8-fa37813b7f48,99424c2e-d03e-5d2e-a391-951f5798d05d,OKC,MIL,"Hartenstein, Isaiah","Gilgeous-Alexander, Shai","Lopez, Brook",null,79781,79808,1,413.76,412.68,6:53,6:52,13.44,-0.55,17.56,-17.54,10.11,key,NRA,1,1,0,0,0,0,50.66204667,12.32228063,floater,cutFloater,1,0,1,1,1,0,0,heavily_contested,0,3.990012531,0.64,2.558223804,2.7443123,-32.62680663,-0.07263672,-0.074218007,57.77458869,swish
10f2be3d-ca5c-52a6-8549-4c0e969d2d1a,6c03b536-73d7-5762-934d-f79477ea5039,fb3d2517-7f6f-54b8-8e08-af085e4af7a3,OKC,MIL,"Hartenstein, Isaiah","Joe, Isaiah","Lopez, Brook",null,67829,67855,1,535.59,534.55,8:55,8:54,6.92,3.26,16.47,-7.6,19.85,key,NRA,1,1,0,0,0,0,46.05869651,11.68400616,floater,cutFloater,1,0,1,1,1,0,0,heavily_contested,0,4.748052232,0.76,-16.20135935,4.062873914,-9.312511073,0.126885933,-0.248823925,56.7405859,swish
077c8a6e-13c9-54f8-9566-6aca60c36065,aac0105d-ef26-5c5a-82e7-7c9ef9c79026,383039da-a48b-5054-a636-faacaa8f29c5,MIL,OKC,"Trent Jr., Gary","Antetokounmpo, Giannis","Mitchell, Ajay",null,266194,266224,4,109.07,107.87,1:49,1:47,19.55,-16.7,24.35,-3.59,57.94,right wing three,ATB,1,1,1,1,0,1,51.1860922,25.37124356,jumper,pullupJumper,0,1,1,1,0,0,0,lightly_contested,0,6.091518694,1.48,41.1646809,2.946278255,-12.42488561,0.493029133,0.136407043,42.82350131,normal_make
efaa4ebe-217c-5062-848a-faed08f75f9a,d9b52677-2495-5d93-8fa1-3da50f1abb26,b5cff3d0-6e80-5384-9c27-dc61ded154be,MIL,OKC,"Green, AJ","Connaughton, Pat","Hartenstein, Isaiah",null,97600,97635,1,95.51,94.11,1:35,1:34,2.01,-24.83,7.4,-7.25,25.86,right corner three,Corner,1,1,1,1,0,1,26.21765211,24.92290914,jumper,stepback,0,2,0,0,0,0,0,heavily_contested,0,4.652794859,6.08,85.0511705,4.709070739,-115.9279836,0.494720553,0.245738189,51.00278973,swish
efaa4ebe-217c-5062-848a-faed08f75f9a,885a4254-1a6f-5f02-9e59-2d1605cfcbc8,f430c7ae-805b-55a2-bbf7-77136964ec18,MIL,OKC,"Portis, Bobby","Connaughton, Pat","Wallace, Cason","Wallace, Cason",96921,96922,1,104.04,104,1:44,1:44,10.53,6.36,6.65,10.42,33.14,key,NRA,1,0,0,0,0,0,35.78814566,6.512265351,layup,drivingLayup,0,1,0,1,1,0,1,lightly_contested,0,1.431782106,1.24,-77.58570735,9.215965917,-10.08226896,null,null,null,null
b6e428e8-ebb2-5589-8f67-1c856310cfb5,a1b63ec3-30e4-5312-a116-b82f604066ea,2c7abdcb-60d8-5dc2-9255-d3ec6458388f,MIL,OKC,"Lopez, Brook","Lillard, Damian","Wallace, Cason",null,118468,118497,2,526.19,525.03,8:46,8:45,10.11,-0.04,21.46,-13.23,36.21,middle two,Mid,1,0,0,0,0,0,49.08777177,16.21004935,post,postRight,1,0,0,1,1,0,0,heavily_contested,0,4.780847205,1.56,0.1413835,3.041666667,179.8586165,0.740144374,0.157132026,51.13197533,inside_rim_miss
b316e4d8-408f-55f8-9dd3-95ff80833fba,f6950876-9d21-5f03-a613-ca157413c192,dd441932-2f3c-5b93-87c3-dcf7a91e2681,MIL,OKC,"Johnson, AJ","Livingston, Chris","Wiggins, Aaron",null,269724,269737,4,63.12,62.6,1:03,1:02,4.89,-5.66,5.16,-7.13,79.49,key,NRA,1,0,0,0,0,0,55.22996783,5.660715503,layup,drivingLayup,0,20,0,0,1,0,0,heavily_contested,0,2.933070064,18.44,90.91098686,12.94573342,-77.32200815,null,null,null,null
